==> Canonical JSON Lean fixture drift
==> Lean 4 proof build
✔ [328/575] Built Mathlib.Tactic.DeprecateTo (4.8s)
✔ [329/575] Built Mathlib.Tactic.ExistsI (1.5s)
✔ [330/575] Built Mathlib.Util.AtomM (4.6s)
✔ [331/575] Built Mathlib.Tactic.DefEqTransformations (7.6s)
✔ [332/577] Built Batteries.Data.List.Count (6.5s)
✔ [333/577] Built Aesop.Index.Basic (2.7s)
✔ [334/577] Built Mathlib.Tactic.ErwQuestion (4.7s)
✔ [335/577] Built Mathlib.Tactic.FailIfNoProgress (4.7s)
✔ [336/577] Built Batteries.Util.Cache (2.4s)
✔ [337/578] Built Mathlib.Tactic.Tauto (10s)
✔ [338/578] Built Mathlib.Tactic.Simproc.ExistsAndEq (9.4s)
✔ [339/581] Built Mathlib.Tactic.TermCongr (13s)
✔ [340/581] Built Aesop.RuleTac.Basic (4.1s)
✔ [341/581] Built Mathlib.Tactic.Find (2.2s)
✔ [342/581] Built Aesop.Index.RulePattern (3.2s)
✔ [343/581] Built Aesop.Index.Forward (3.5s)
✔ [344/581] Built Batteries.Data.List.Perm (7.1s)
✔ [345/581] Built Mathlib.Tactic.FunProp.Decl (3.9s)
✔ [346/581] Built Mathlib.Tactic.DepRewrite (14s)
✔ [347/581] Built Mathlib.Tactic.CongrM (3.4s)
✔ [348/584] Built Mathlib.Tactic.FunProp.Mor (3.1s)
✔ [349/596] Built Aesop.RuleTac.Preprocess (2.1s)
✔ [350/598] Built Aesop.Search.Expansion.Basic (2.8s)
✔ [351/599] Built Aesop.RuleTac.Tactic (3.8s)
✔ [352/600] Built Mathlib.Tactic.GuardGoalNums (1.5s)
✔ [353/600] Built Batteries.Data.List.Scan (18s)
✔ [354/600] Built Mathlib.Tactic.FunProp.ToBatteries (5.1s)
✔ [355/602] Built Aesop.RuleTac.Descr (3.1s)
✔ [356/602] Built Aesop.RuleTac.Apply (3.4s)
✔ [357/602] Built Mathlib.Tactic.GuardHypNums (1.4s)
✔ [358/604] Built Mathlib.Lean.Meta.RefinedDiscrTree.Basic (3.6s)
✔ [359/604] Built Aesop.RuleTac.Cases (4.3s)
✔ [360/604] Built Batteries.Data.MLList.Basic (3.2s)
✔ [361/605] Built Batteries.Data.List (1.4s)
✔ [362/606] Built Mathlib.Tactic.TFAE (13s)
✔ [363/606] Built Mathlib.Tactic.InferParam (2.2s)
✔ [364/606] Built Mathlib.Util.TermReduce (2.1s)
✔ [365/608] Built Aesop.Rule.Basic (2.2s)
✔ [366/608] Built Mathlib.Tactic.HigherOrder (3.3s)
✔ [367/608] Built Batteries.Control.Nondet.Basic (1.6s)
